include,source,title,authors,url,doi
NO,google scholar,Advancing citizen science for coastal and ocean research,C Carcia-Soto and GI van der Meeren,https://imr.brage.unit.no/imr-xmlui/handle/11250/2476796,
NO,google scholar,Advancing Citizen Science for Coastal and Ocean Research.,V French and P Kellett and J Delany and N McDonough,https://development.oceanbestpractices.net/handle/11329/443,
NO,google scholar,Advancing federal capacities for the early detection of and rapid response to invasive species through technology innovation,B Martinez and A Dehgan and B Zamft and D Baisch…,https://conservationxlabs.com/s/federal_capacities_for_edrr_through_technology_innovation_prepub_8717.pdf,
NO,google scholar,Advancing the Lead User Method and its Adoption in Organizations,P Helminen,https://aaltodoc.aalto.fi/handle/123456789/21927,
NO,google scholar,Affordable robotics for innovative education and outreach,SR Pandian,,
NO,google scholar,Afterschool Matters,NEWF NIOST,https://repository.wellesley.edu/cgi/viewcontent.cgi?article=1033&context=afterschoolmatters,
NO,zenodo,Air quality data created by the hackAIR Horizon2020 project,"- Panagiota Syropoulou
- Anastasia Moumtzidou
- Symeon (Akis) Papadopoulos
- Eleftherios Spyromitros-Xioufis
- Philipp Schneider
- Hai-Ying Liu
- Sonja Grossberndt
- Arne Fellermann
- Ilias Stavrakas
- Konstantinos Kourtidis
- Carina Veeckman
- Wiebke Herding",,10.5281/zenodo.2222342
NO,google scholar,Al passo col futuro: Come sopravvivere all'imprevedibile accelerazione del mondo,J Ito and J Howe,,
NO,google scholar,Alcune considerazioni su hacking ed innovazione politica,V Milone,http://www.tema.unina.it/index.php/politics/article/view/3709,
NO,google scholar,"Aletta Bonn1, 2, 3, Susanne Hecker1, 3, Anne Bowser4, Zen Makuch5",J Vogel and M Haklay,https://discovery.dundee.ac.uk/ws/files/29458369/Citizen_Science_min.pdf#page=505,
NO,google scholar,Alfabetización científica y tecnológica: la transposición didáctica del conocimiento tecnológico,F Cajas,https://www.raco.cat/index.php/Ensenanza/article/download/21737/21571,
NO,google scholar,als Cloud-Services,S Ehrenberg-Silies and D Compagna and O Schwetje…,http://www.tab-beim-bundestag.de/de/pdf/publikationen/berichte/TAB-Horizon-Scanning-hs001.pdf,
NO,google scholar,Alternative technology niches and sustainable development: 12 years on,A Smith,https://www.tandfonline.com/doi/abs/10.1080/14479338.2016.1241153,
SI,google scholar,Amateur public observatory I: The observatory and hardware integration system,J Han and C Wang and D Fan and C Cui and S Li and L Mi and Z Li…,https://www.sciencedirect.com/science/article/pii/S2213133718300209,
NO,google scholar,Amateur Telescope Making,J Chung,https://link.springer.com/chapter/10.1007/978-3-319-18546-0_4,
NO,zenodo,"Ambient air ozone concentrations using metal-oxide low-cost sensors: Spain and Italy, summer 2017","- Viana, Mar
- Ripoll, Anna
- Barceló-Ordinas, Jose María
- García Vidal, Jorge",,10.5281/zenodo.2564753
NO,zenodo,"Ambient air ozone concentrations using metal-oxide low-cost sensors: Spain and Italy, summer 2018","- Viana, Mar
- Ripoll, Anna
- Barceló-Ordinas, José María
- García Vidal, Jorge",,10.5281/zenodo.2564825
NO,google scholar,Amplifying quiet voices: Challenges and opportunities for participatory design at an urban scale,D Gooch and M Barker and L Hudson and R Kelly…,https://dl.acm.org/citation.cfm?id=3139398,
NO,zenodo,An alliance for biodiversity knowledge: Rethinking international collaboration in biodiversity informatics,"- Hobern, Donald
- Miller, Joseph",,10.3897/biss.3.37324
NO,google scholar,An Analysis Of Exemplary Cases In Argentina,M Fressoli and V Arza,http://www.revistacts.net/files/Volumen_12_Numero_36/Nuevos/ArzaEDITADO.pdf,
NO,google scholar,An approach for the development of context-driven Web Map solutions based on interoperable GIS platform,M Bogdanović and A Stanimirović and L Stoimenov,https://www.researchgate.net/profile/Branko_Perisic/publication/262569121_Increasing_the_lifetime_of_hexagonal_deployed_Wireless_Sensor_Web_Network/links/54b1300f0cf28ebe92dff6e4/Increasing-the-lifetime-of-hexagonal-deployed-Wireless-Sensor-Web-Network.pdf#page=272,
NO,zenodo,"An atlas of orchids distribution in the Campania region (Italy), a citizen science project for the most charming plant family","- Croce, Antonio
- Nazzaro, Roberto",,10.3897/ib.4.14916
NO,google scholar,An autonomous UAV-UGV system for eradication of invasive weed prosopis juliflora,B Baskaran and K Radhakrishnan…,https://ieeexplore.ieee.org/abstract/document/8340590/,
SI,google scholar,An educational distributed Cosmic Ray detector network based on ArduSiPM,V Bocci and G Chiodi and P Fresch and F Iacoangeli…,https://arxiv.org/abs/1703.09843,
NO,google scholar,An empirical study on faculty perceptions and teaching practices of Wikipedia,E Aibar Puentes,http://openaccess.uoc.edu/webapps/o2/bitstream/10609/30961/1/ppt_aibar.pdf,
NO,zenodo,An Evaluation of In-house versus Out-sourced Data Capture at the Meise Botanic Garden (BR),"- Engledow, Henry
- De Smedt, Sofie
- Bogaerts, Ann
- Groom, Quentin",,10.3897/biss.2.26514
NO,google scholar,An exploration of crowdsourcing citation screening for systematic reviews,ML Mortensen and GP Adam and TA Trikalinos…,https://onlinelibrary.wiley.com/doi/abs/10.1002/jrsm.1252,
NO,zenodo,An Exploratory Study of Science and Nature Collaborations in Pinterest,- Reid Boehm,,10.5281/zenodo.28214
NO,zenodo,An Integrated Data Quality System for Species Observations,"- Kelling, Steve",,10.3897/biss.2.25395
NO,google scholar,"An integrated sustainable approach, based on peer production and collaborative product development, to deliver commercial products: an entrepreneurial …",F Cappa12 and F Del Sette and D Hayes…,https://pdfs.semanticscholar.org/e1e0/414870b7ffd1a2864a6a9cea04a952cfafe2.pdf,
NO,google scholar,An interactive peer-review business model for scientific development Kickoff paper for the ResearchGate Project “Development of open scientific-public-private …,I Bergier,https://www.researchgate.net/profile/Ivan_Bergier/publication/324756818_An_interactive_peer-review_business_model_for_scientific_development/links/5ae09d89a6fdcc91399dbc67/An-interactive-peer-review-business-model-for-scientific-development.pdf,
NO,google scholar,An introduction to generative justice,R Eglash,https://dialnet.unirioja.es/servlet/articulo?codigo=5764113,
NO,google scholar,An online benchmarking platform for visualizing ionizing radiation doses in different cities,J Villegas,https://ieeexplore.ieee.org/abstract/document/7520144/,
NO,google scholar,An open framework for participatory PM2. 5 monitoring in smart cities,LJ Chen and YH Ho and HC Lee and HC Wu and HM Liu…,https://ieeexplore.ieee.org/abstract/document/7970115/,
SI,scopus,An Open Framework for Participatory PM2.5 Monitoring in Smart Cities,"Chen L.-J., Ho Y.-H., Lee H.-C., Wu H.-C., Liu H.-M., Hsieh H.-H., Huang Y.-T., Lung S.-C.C.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85023185030&doi=10.1109%2fACCESS.2017.2723919&partnerID=40&md5=ae7a4b94de4a663a81199bb5ff1341b3,10.1109/ACCESS.2017.2723919
SI,google scholar,An Open Hardware seismic data recorder-a solid basis for citizen science,S Mertl,http://adsabs.harvard.edu/abs/2015EGUGA..17.3354M,
NO,google scholar,An open science 'state of the art'for Hong Kong: Making open research data available to support Hong Kong's innovation policy,N Sharif and W Ritter and R Davidson and S Edmunds,https://osf.io/preprints/socarxiv/3egzh/,
SI,google scholar,An Open-Source Reaction Wheel System for Oregon's First Satellite,JA Louke and ES Schmidt and CJ Young,https://arc.aiaa.org/doi/pdf/10.2514/6.2016-5346,
NO,zenodo,Analyses of occurrence data of protected insect species collected by citizens in Italy,"- Campanaro, Alessandro
- Hardersen, Sönke
- Redolfi De Zan, Lara
- Antonini, Gloria
- Bardiani, Marco
- Maura, Michela
- Maurizi, Emanuela
- Mosconi, Fabio
- Zauli, Agnese
- Bologna, Marco Alberto
- Roversi, Pio Federico
- Sabbatini Peverieri, Giuseppino
- Mason, Franco",,10.3897/natureconservation.20.12704
NO,google scholar,Anticipated environmental sustainability of personal fabrication,C Kohtala and S Hyysalo,https://www.sciencedirect.com/science/article/pii/S0959652615002589,
NO,google scholar,Applications of open source 3-D printing on small farms,J Pearce,https://hal.archives-ouvertes.fr/hal-02119671/,
NO,google scholar,Applying geospatial technology to oil spill response planning in the Western Basin of Lake Erie,DB Dean,https://digitalcommons.mtu.edu/mtri_p/77/,
NO,google scholar,Applying social network analysis to validate mass collaboration innovation drivers: An empirical study of NASA's International Space Apps Challenge,F Senghore and E Campos-Nanez and P Fomin…,https://www.sciencedirect.com/science/article/pii/S0923474815000363,
NO,zenodo,Appraisal of Energy Efficiency of Urban Development Plans: The Fidelity Concept on Izmir-Balcova Case,"- Y. Duvarci
- A. K. Kutluca",,10.5281/zenodo.1329178
NO,google scholar,"Approaching Participatory Design in"" Citizen Science""",R Macintyre,http://oro.open.ac.uk/46337/,
NO,zenodo,Appropriate Technology: Revisiting the Movement in Developing Countries for Sustainability,"- Jayshree Patnaik
- Bhaskar Bhowmick",,10.5281/zenodo.1316135
NO,google scholar,Appropriating Video Surveillance for Art and Environmental Awareness: Experiences from ARTiVIS,M Mendes and P Ângelo and N Correia and V Nisi,https://link.springer.com/article/10.1007/s11948-016-9762-5,
NO,google scholar,"APROPRIAÇÃO CRÍTICA DE TECNOLOGIAS, PERCEPÇÃO SOCIOAMBIENTAL E PETRÓLEO EM SANTOS, SÃO PAULO.",EM DE SISTEMAS COSTEIROS and M BEGALLI,https://unisanta.br/arquivos/mestrado/ecologia/dissertacoes/mabegalli_dissertacao.pdf,
NO,google scholar,Ardsense: Extending mobile phone sensing capabilities using open source hardware for new citizens as sensors based applications,N Davidovic and L Stoimenov,https://agile-online.org/conference_paper/cds/agile_2013/short_papers/sp_s1.3_davidovic.pdf,
NO,google scholar,Arduino Android Blueprints,M Schwartz and S Buttigieg,https://books.google.com/books?hl=es&lr=&id=J9MGBgAAQBAJ&oi=fnd&pg=PT2&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=utptJeAQts&sig=d4VUqclJuXLdD_IqJgZrJoHWFSA,
NO,google scholar,Argument analysis in large-scale deliberation,M Aakhus and M Lewiński,https://books.google.com/books?hl=es&lr=&id=QSlzAAAAQBAJ&oi=fnd&pg=PA165&dq=(%22open-source+hardware%22+OR+%22open-design+movement%22+OR+%22open+design%22+OR+%22open+hardware%22+OR+%22open+machine+design%22)+AND+(%22citizen+science%22+OR+%22community+science%22+OR+%22crowd+science%22+OR+%22crowd-sourced+science%22+OR+%22civic+science%22+OR+%22volunteer+monitoring%22)&ots=_mXixcgzEm&sig=HIgfaJNJIZpwJROT6D2m1I0pVsE,
